,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km),MakeAvg,Engine/Cylinders
121590,2,TWO-SEATER,2.0,4.0,M6,Z,43.15,32.54182132506229,8.12,194.0,0.0,0.5
121592,19,MID-SIZE,6.2,8.0,A8,Z,39.682539682539684,6.84,12.55,378.0,0.11778104235512704,0.775
121595,16,PICKUP TRUCK - SMALL,2.5,4.0,A8,X,27.520121046249823,43.10344827586207,8.26,267.0,0.31251434751127427,0.625
121596,19,FULL-SIZE,3.6,6.0,A5,X,7.836990595611286,5.608524957936063,6.6489361702127665,277.0,0.11778104235512704,0.6
121599,10,MID-SIZE,3.5,6.0,AS6,X,8.051529790660226,6.8965517241379315,7.485029940119761,219.0,0.13075557709860083,0.5833333333333334
121602,7,MID-SIZE,2.0,4.0,AS6,X,3.5248501938667607,5.405405405405405,23.145127444025494,195.0,0.3722649650185522,0.5
121604,1,MID-SIZE,2.4,4.0,AV,X,12.86,14.164305949008499,13.333333333333334,174.0,0.3734598273946921,0.6
121606,13,COMPACT,2.0,4.0,AS8,Z,2.704895861509332,5.476451259583789,27.965627701225404,217.0,0.4616911152907516,0.5
121607,7,FULL-SIZE,3.0,6.0,AS6,X,3.367003367003367,5.27,4.019292604501608,222.0,0.3722649650185522,0.5
121608,15,COMPACT,2.0,4.0,A8,Z,6.8728522336769755,4.291845493562231,5.405405405405405,234.0,0.2328061192239942,0.5
121613,15,COMPACT,1.5,4.0,AS8,Z,26.041666666666668,23.58490566037736,24.875621890547265,210.0,0.2328061192239942,0.375
121614,6,SUV - SMALL,1.6,4.0,AM7,X,30.818686688926178,5.959475566150179,4.589261128958238,207.0,0.34317101657882515,0.4
121623,16,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,6.66,22.831050228310502,9.784735812133071,293.0,0.31251434751127427,0.6625
121628,18,COMPACT,2.0,4.0,AS8,Z,5.46448087431694,25.64102564102564,8.460236886632826,213.0,0.40917622032231027,0.5
121632,6,COMPACT,3.6,6.0,M6,X,32.154340836012864,8.19672131147541,13.88,198.0,0.34317101657882515,0.6
121634,15,MID-SIZE,2.0,4.0,AS8,Z,15.241913194846058,17.87,24.62698011574664,204.0,0.2328061192239942,0.5
121640,1,MID-SIZE,2.4,4.0,M6,X,22.32142857142857,12.658227848101266,16.61,215.0,0.3734598273946921,0.6
121647,17,SUV - STANDARD,2.0,4.0,AS10,X,24.77,10.42,15.384615384615383,276.0,1.0,0.5
121655,5,COMPACT,2.0,4.0,M6,Z,39.374942420018975,42.86,11.363636363636363,224.0,0.18105332461859827,0.5
121673,6,MID-SIZE,2.0,4.0,AS6,X,6.289308176100628,39.0625,10.1010101010101,144.0,0.34317101657882515,0.5
121675,14,SUV - STANDARD,6.2,8.0,A8,Z,9.115770282588878,4.63,6.349206349206349,343.0,0.014703742880091549,0.775
121679,17,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,19.875642977847093,4.91,4.09,238.0,1.0,0.625
121686,19,SUV - SMALL,2.4,4.0,A4,X,16.33986928104575,19.63,17.54385964912281,631.0209399248022,0.11778104235512704,0.6
121688,14,SUV - STANDARD,3.0,6.0,A8,D,4.18,10.443533114987114,14.95965554308965,266.0,0.014703742880091549,0.5
121691,8,MINICOMPACT,2.0,4.0,AS6,Z,18.44083324808535,21.88183807439825,5.39,184.0,0.16651708420640168,0.5
121695,15,TWO-SEATER,3.0,6.0,AM7,Z,11.198208286674133,34.72222222222222,16.129032258064516,290.0,0.2328061192239942,0.5
121699,16,SUV - STANDARD,3.6,6.0,A6,X,4.94,4.854368932038835,4.909180166912125,329.0,0.31251434751127427,0.6
121701,19,MID-SIZE,6.4,8.0,A8,Z,13.53,8.250825082508252,10.526315789473685,318.0,0.11778104235512704,0.8
121704,12,COMPACT,1.6,4.0,M5,X,5.282620179609086,6.443298969072165,5.74712643678161,160.0,0.22159697078984808,0.4
121705,10,PICKUP TRUCK - SMALL,2.7,4.0,M5,X,8.431703204047217,12.804097311139566,10.0,237.0,0.13075557709860083,0.675
121706,15,COMPACT,3.0,6.0,AM7,Z,4.681647940074907,15.64945226917058,2.881844380403458,291.0,0.2328061192239942,0.5
121714,16,TWO-SEATER,6.2,8.0,M7,Z,5.470459518599562,25.37966718709706,5.032712632108706,310.0,0.31251434751127427,0.775
121715,11,MID-SIZE,2.0,4.0,AS8,X,2.347417840375587,10.11,3.589375448671931,185.0,0.03366713263218451,0.5
121717,5,COMPACT,2.0,4.0,M6,Z,8.771929824561404,26.96,12.658227848101266,232.0,0.18105332461859827,0.5
121725,6,COMPACT,1.6,4.0,M6,X,39.70424301373479,51.70019321338215,8.01,167.0,0.34317101657882515,0.4
121731,19,MID-SIZE,1.5,4.0,M6,X,6.1462814996926864,65.9,10.384215991692626,212.0,0.11778104235512704,0.375
121742,14,SUV - SMALL,3.2,6.0,A9,X,25.0,18.18181818181818,21.27659574468085,258.0,0.014703742880091549,0.5333333333333333
121743,17,SUV - SMALL,2.0,4.0,A6,X,6.978367062107467,7.751937984496124,7.31,220.0,1.0,0.5
121744,16,SUV - SMALL,2.4,4.0,M6,X,6.313131313131313,12.345679012345679,8.08,240.0,0.31251434751127427,0.6
121747,7,STATION WAGON - SMALL,1.6,4.0,AM6,X,16.051364365971107,17.24137931034483,16.528925619834713,163.0,0.3722649650185522,0.4
121748,16,SUBCOMPACT,3.6,6.0,M6,X,43.643328079185096,14.285714285714286,7.575757575757576,281.0,0.31251434751127427,0.6
121750,7,SUV - SMALL,3.3,6.0,A6,X,8.741258741258742,25.839793281653748,12.45,284.0,0.3722649650185522,0.5499999999999999
121754,2,MID-SIZE,2.5,4.0,AS6,X,16.666666666666668,8.46,11.64,104.0,0.0,0.625
121762,10,SUV - SMALL,3.5,6.0,AS8,X,8.688097306689835,8.620689655172415,8.64,242.0,0.13075557709860083,0.5833333333333334
121763,16,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,9.174311926605505,63.92547018977079,8.63,289.0,0.31251434751127427,0.6625
121767,7,FULL-SIZE,3.8,6.0,AS8,X,9.920634920634921,69.5750919475941,9.34,264.0,0.3722649650185522,0.6333333333333333
121772,7,COMPACT,2.0,4.0,M6,X,10.672358591248667,7.1890726096333575,8.76424189307625,209.0,0.3722649650185522,0.5
121783,16,PICKUP TRUCK - STANDARD,2.0,4.0,A6,E,6.868131868131868,8.264462809917356,7.43,322.0,0.31251434751127427,0.5
121785,16,SUV - STANDARD,3.6,6.0,A6,X,8.32639467110741,7.55,7.96,309.0,0.31251434751127427,0.6
121788,15,SUBCOMPACT,2.0,4.0,M6,Z,4.777830864787386,15.97444089456869,6.978367062107467,216.0,0.2328061192239942,0.5
121790,11,COMPACT,2.0,4.0,AS8,X,5.21,40.32258064516129,8.547008547008547,197.0,0.03366713263218451,0.5
121791,14,SUV - SMALL,2.5,4.0,A5,X,6.071645415907711,6.544502617801047,6.28,321.0,0.014703742880091549,0.625
121793,13,SUV - SMALL,2.0,4.0,AS6,Z,8.620689655172415,19.12045889101338,11.494252873563218,237.0,0.4616911152907516,0.5
121796,19,SUV - SMALL,3.6,6.0,A6,X,4.642525533890437,8.83,5.903187721369539,273.0,0.11778104235512704,0.6
121800,17,MID-SIZE,2.0,4.0,AS6,X,38.57521240670915,9.775171065493646,8.0,225.0,1.0,0.5
121802,16,VAN - CARGO,5.3,8.0,A4,E,5.847953216374269,7.304601899196494,6.41025641025641,432.0,0.31251434751127427,0.6625
121806,10,COMPACT,1.5,4.0,AS6,X,38.08,12.88659793814433,20.242914979757085,180.0,0.13075557709860083,0.375
121817,16,MID-SIZE,2.7,6.0,M6,X,37.31343283582089,19.607843137254903,26.54,96.0,0.31251434751127427,0.45
121819,2,COMPACT,2.5,4.0,AS6,X,5.13,13.157894736842104,7.08,199.0,0.0,0.625
121825,16,VAN - PASSENGER,6.0,8.0,A6,E,4.31,6.2,4.997501249375312,396.0,0.31251434751127427,0.75
121828,10,COMPACT,3.6,6.0,A4,X,5.55,6.451612903225806,5.91715976331361,180.0,0.13075557709860083,0.6
121831,15,SUV - STANDARD,4.4,8.0,AS8,Z,3.389830508474576,20.449897750511248,5.434782608695652,307.0,0.2328061192239942,0.55
121834,10,COMPACT,1.5,4.0,A4,X,6.045949214026603,9.041591320072332,7.11,116.0,0.13075557709860083,0.375
121839,19,MID-SIZE,2.0,4.0,A8,Z,4.405286343612334,12.658227848101266,6.23,361.0,0.11778104235512704,0.5
121845,5,COMPACT,1.8,4.0,AS6,X,22.22222222222222,28.248587570621467,24.57,200.0,0.18105332461859827,0.45
121848,7,FULL-SIZE,2.4,4.0,AS6,X,9.71,20.61,12.74,195.0,0.3722649650185522,0.6
121860,17,MID-SIZE,2.0,4.0,M6,X,29.154518950437318,11.587485515643104,17.24137931034483,224.0,1.0,0.5
121863,18,SUV - STANDARD,6.2,8.0,A6,Z,2.824858757062147,9.433962264150942,4.13,494.0,0.40917622032231027,0.775
121867,5,COMPACT,1.8,4.0,M5,X,5.847953216374269,20.18,8.61,202.0,0.18105332461859827,0.45
121869,9,COMPACT,2.4,4.0,AM8,Z,5.602240896358543,8.16326530612245,6.52,207.0,0.2613909546434631,0.6
121876,10,PICKUP TRUCK - SMALL,3.5,6.0,M6,X,3.901677721420211,23.69,6.25,312.0,0.13075557709860083,0.5833333333333334
121881,17,SUBCOMPACT,5.0,8.0,M6,X,40.38636567214611,32.6797385620915,11.22334455667789,301.0,1.0,0.625
121882,9,COMPACT,2.4,4.0,AM8,Z,10.559662090813093,14.705882352941176,12.048192771084338,200.0,0.2613909546434631,0.6
121886,10,PICKUP TRUCK - SMALL,2.7,4.0,M5,X,17.857142857142854,6.578947368421052,10.05,229.0,0.13075557709860083,0.675
121889,11,STATION WAGON - SMALL,2.0,4.0,AS8,Z,12.048192771084338,6.108735491753206,8.382229673093043,226.0,0.03366713263218451,0.5
121890,17,COMPACT,2.0,4.0,M5,E,24.72,71.88161531396536,17.54385964912281,177.0,1.0,0.5
121893,14,SUV - SMALL,3.6,6.0,A5,X,2.915451895043732,6.7,21.616231830344947,326.0,0.014703742880091549,0.6
121896,3,STATION WAGON - SMALL,1.4,4.0,A6,X,3.08,60.30971226476388,4.2,225.0,0.567858610062776,0.35
121906,15,COMPACT,3.0,6.0,M6,Z,4.43,37.02279532204891,5.221932114882507,240.0,0.2328061192239942,0.5
121912,6,MID-SIZE,2.0,4.0,AS6,X,10.493179433368311,24.41,14.104372355430185,129.0,0.34317101657882515,0.5
121918,16,MID-SIZE,1.4,4.0,M6,X,3.95,6.756756756756757,4.854368932038835,152.0,0.31251434751127427,0.35
121919,11,STATION WAGON - SMALL,2.0,4.0,AS8,Z,12.836970474967908,14.19,13.404825737265416,218.0,0.03366713263218451,0.5
121920,17,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,5.1020408163265305,3.41296928327645,23.07456303108639,295.0,1.0,0.5833333333333334
121936,5,COMPACT,1.4,4.0,AS6,X,6.802721088435375,29.325513196480937,10.416666666666668,158.0,0.18105332461859827,0.35
121945,12,PICKUP TRUCK - STANDARD,3.8,6.0,AS9,X,3.9888312724371757,5.611672278338945,25.37966718709706,304.0,0.22159697078984808,0.6333333333333333
121946,20,SUV - SMALL,2.0,4.0,AS9,Z,6.734006734006734,54.68833861572968,6.79,241.0,0.07969935719583567,0.5
121950,2,COMPACT,2.5,4.0,AS6,X,5.34,7.369196757553427,6.097560975609756,96.0,0.0,0.625
121958,17,SUV - STANDARD,3.5,6.0,AS6,X,8.019246190858059,11.587485515643104,9.31,305.0,1.0,0.5833333333333334
121970,20,SUV - STANDARD,3.0,6.0,AS8,Z,9.68054211035818,5.61,7.299270072992701,315.0,0.07969935719583567,0.5
121971,18,FULL-SIZE,3.6,6.0,AS6,X,7.31,6.74,7.042253521126761,249.0,0.40917622032231027,0.6
121973,17,PICKUP TRUCK - STANDARD,5.6,8.0,AS6,X,5.691519635742743,25.0,8.695652173913045,288.0,1.0,0.7
121979,12,MID-SIZE,2.5,4.0,AV,X,40.816326530612244,10.12,17.271157167530223,149.0,0.22159697078984808,0.625
121981,2,TWO-SEATER,2.0,4.0,M5,Z,7.722007722007723,11.3,9.01,220.0,0.0,0.5
121986,8,SUV - SMALL,3.6,6.0,M6,X,6.097560975609756,6.79,6.41025641025641,222.0,0.16651708420640168,0.6
121988,6,SUV - SMALL,2.0,4.0,AS6,X,9.578544061302683,17.12,11.95,239.0,0.34317101657882515,0.5
121994,12,SUV - STANDARD,5.6,8.0,AS7,X,33.4175126975249,66.01583024016543,5.382131324004306,348.0,0.22159697078984808,0.7
122002,16,COMPACT,3.6,6.0,AS6,X,4.750593824228028,38.167938931297705,7.84,256.0,0.31251434751127427,0.6
122003,16,SUV - STANDARD,1.8,4.0,A6,X,4.7236655644780345,9.72762645914397,6.1462814996926864,322.0,0.31251434751127427,0.45
122004,17,MID-SIZE,1.5,4.0,AS6,X,23.87,7.4074074074074066,11.91,189.0,1.0,0.375
122012,15,MID-SIZE,3.5,6.0,AS8,Z,34.717691166038236,30.48780487804878,9.765625,211.0,0.2328061192239942,0.5833333333333334
122015,16,VAN - CARGO,5.3,8.0,A4,X,4.587155963302752,25.32,7.267441860465117,377.0,0.31251434751127427,0.6625
122020,14,SUV - SMALL,2.4,4.0,A9,X,46.863612481144386,7.05,6.349206349206349,242.0,0.014703742880091549,0.6
122028,2,COMPACT,2.0,4.0,AS6,X,3.3944331296673456,5.714285714285714,4.151100041511,179.0,0.0,0.5
122030,15,SUBCOMPACT,3.0,6.0,M6,Z,22.831050228310502,6.489292667099286,10.7,268.0,0.2328061192239942,0.5
122032,8,MID-SIZE,2.0,4.0,AV7,X,11.723329425556859,12.45,12.04,154.0,0.16651708420640168,0.5
122033,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,4.071661237785016,9.14,5.43,381.0,1.0,0.625
122037,12,PICKUP TRUCK - STANDARD,5.6,8.0,AS7,X,8.37,5.6657223796034,6.89,317.0,0.22159697078984808,0.7
122040,15,COMPACT,3.0,6.0,AM7,Z,7.558578987150415,13.020833333333334,9.32,297.0,0.2328061192239942,0.5
122043,17,TWO-SEATER,3.5,6.0,AM7,Z,26.226440142366286,8.02,5.81,362.0,1.0,0.5833333333333334
122044,14,SUV - SMALL,2.4,4.0,A9,X,39.23381359414078,65.90283780500896,7.57,217.0,0.014703742880091549,0.6
122057,7,FULL-SIZE,2.0,4.0,M6,X,10.152284263959391,18.34862385321101,12.706480304955527,199.0,0.3722649650185522,0.5
122062,5,COMPACT,1.8,4.0,M5,X,7.25,8.51063829787234,7.77000777000777,202.0,0.18105332461859827,0.45
122063,17,SPECIAL PURPOSE VEHICLE,1.5,4.0,AS6,X,17.24137931034483,52.85274529138748,12.66,247.0,1.0,0.375
122066,12,SUBCOMPACT,3.8,6.0,AM6,Z,4.25,30.272133150874804,26.15587572942718,302.0,0.22159697078984808,0.6333333333333333
122070,15,FULL-SIZE,3.0,6.0,AS8,Z,5.99,6.7114093959731544,6.289308176100628,224.0,0.2328061192239942,0.5
122075,14,SUV - SMALL,2.4,4.0,M5,X,7.898894154818326,54.66009050694057,7.39,207.0,0.014703742880091549,0.6
122076,6,COMPACT,2.0,4.0,M6,X,5.608524957936063,8.264462809917356,6.578947368421052,187.0,0.34317101657882515,0.5
122081,18,FULL-SIZE,3.6,6.0,AS6,X,4.5787545787545785,25.64102564102564,7.27,400.6359162087027,0.40917622032231027,0.6
122084,6,SUV - SMALL,3.3,6.0,AS6,X,14.67,22.675736961451246,17.45,275.0,0.34317101657882515,0.5499999999999999
122086,17,PICKUP TRUCK - STANDARD,2.5,4.0,AS6,X,5.104645227156713,22.956955676187885,4.62962962962963,361.0,1.0,0.625
122087,17,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,7.905138339920948,25.64102564102564,11.45475372279496,318.0,1.0,0.5833333333333334
122090,16,COMPACT,1.8,4.0,M5,X,6.341154090044388,50.0,10.43,201.0,0.31251434751127427,0.45
122106,20,SUV - SMALL,3.0,6.0,AS8,Z,3.87,12.903225806451612,5.6529112492933855,280.0,0.07969935719583567,0.5
122107,16,SUV - STANDARD,2.3,4.0,A9,X,8.333333333333334,15.600624024960998,10.54,269.0,0.31251434751127427,0.575
122111,15,SUV - SMALL,3.0,6.0,AS8,Z,4.325259515570934,6.042296072507552,4.9603174603174605,229.0,0.2328061192239942,0.5
122112,12,MID-SIZE,1.8,4.0,AV,X,34.05908997860662,7.042253521126761,6.53,169.0,0.22159697078984808,0.45
122114,17,MID-SIZE,2.0,4.0,AS6,X,4.05,18.55287569573284,6.25,227.0,1.0,0.5
122127,21,TWO-SEATER,6.5,12.0,AM7,Z,4.926108374384237,3.186743148502231,3.95,448.0,0.13738198416456834,0.5416666666666666
122136,12,SUV - SMALL,3.5,6.0,AV,X,6.0606060606060606,36.28,9.68054211035818,257.0,0.22159697078984808,0.5833333333333334
122138,16,PICKUP TRUCK - STANDARD,6.2,8.0,A10,Z,4.870920603994155,7.662835249042145,5.83,384.0,0.31251434751127427,0.775
122139,17,SUV - STANDARD,3.5,6.0,AS10,X,3.2819166393173616,54.852070324662044,4.7,323.0,1.0,0.5833333333333334
122141,18,MID-SIZE,3.0,6.0,AS10,Z,6.96,6.609385327164573,6.798096532970768,391.6048068084224,0.40917622032231027,0.5
122147,6,SUV - SMALL,2.0,4.0,AS6,X,3.1486146095717884,11.11111111111111,4.646840148698885,182.0,0.34317101657882515,0.5
122152,7,FULL-SIZE,2.0,4.0,AS6,X,17.793594306049823,5.467468562055768,8.84,225.0,0.3722649650185522,0.5
122155,16,SUBCOMPACT,1.4,4.0,M5,X,46.05,8.460236886632826,15.35,172.0,0.31251434751127427,0.35
122158,15,SUBCOMPACT,3.0,6.0,M6,Z,2.9673590504451037,5.85,21.098759468791535,251.0,0.2328061192239942,0.5
122161,17,FULL-SIZE,3.5,6.0,AS6,X,40.59805891096342,35.53612085670864,5.681818181818182,250.0,1.0,0.5833333333333334
122162,2,COMPACT,2.5,4.0,AS6,X,6.11,21.2,9.009009009009008,184.0,0.0,0.625
122164,9,COMPACT,2.4,4.0,AM8,Z,6.626905235255136,51.276806735747535,7.575757575757575,202.0,0.2613909546434631,0.6
122165,15,TWO-SEATER,3.0,6.0,M6,Z,6.784260515603799,44.60376377801506,6.19,253.0,0.2328061192239942,0.5
122169,17,FULL-SIZE,5.0,8.0,AS6,X,27.543642517229525,16.611295681063122,7.2727272727272725,290.0,1.0,0.625
122173,5,MID-SIZE,3.3,6.0,M5,X,22.157225662878062,15.625,6.02,184.0,0.18105332461859827,0.5499999999999999
122177,5,COMPACT,2.0,4.0,M5,X,14.85,21.498624475446444,6.540222367560498,183.0,0.18105332461859827,0.5
122181,11,SUV - STANDARD,2.0,4.0,AS8,Z,13.089005235602095,6.161429451632778,8.69,234.0,0.03366713263218451,0.5
122191,18,FULL-SIZE,3.0,6.0,AS8,Z,33.98247487330723,9.29,5.63,276.0,0.40917622032231027,0.5
122193,1,COMPACT,1.8,4.0,M5,X,14.265335235378032,6.675567423230975,9.433962264150944,170.0,0.3734598273946921,0.45
122201,6,SUV - SMALL,2.0,4.0,AS6,X,50.0,45.34939604886296,15.15151515151515,191.0,0.34317101657882515,0.5
122203,16,SUV - SMALL,3.6,6.0,A6,X,3.85,14.705882352941176,5.780346820809249,304.0,0.31251434751127427,0.6
122204,17,PICKUP TRUCK - STANDARD,1.6,4.0,AS10,D,30.64919803619148,22.88,6.142506142506142,477.7501931910108,1.0,0.4
122206,10,MINICOMPACT,2.0,4.0,M6,Z,4.938271604938271,4.65,4.805382027871216,236.0,0.13075557709860083,0.5
122207,19,MID-SIZE,5.7,8.0,A8,X,10.881392818280741,54.83,17.006802721088437,298.0,0.11778104235512704,0.7125
122208,10,MINIVAN,2.0,4.0,AS8,X,8.771929824561404,8.45,8.64304235090752,269.0,0.13075557709860083,0.5
122213,18,COMPACT,2.7,6.0,AS8,Z,7.352941176470588,16.666666666666668,9.803921568627452,225.0,0.40917622032231027,0.45
122218,10,SUV - SMALL,2.5,4.0,AS6,X,10.75268817204301,31.545741324921135,15.31,216.0,0.13075557709860083,0.625
122220,15,COMPACT,2.0,4.0,M6,Z,7.17,19.92,10.070493454179255,215.0,0.2328061192239942,0.5
122221,17,VAN - PASSENGER,2.4,4.0,AS6,X,7.95,7.11,7.547169811320755,388.0,1.0,0.6
122230,10,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,9.523809523809524,10.869565217391305,10.06,438.0,0.13075557709860083,0.7125
122237,19,FULL-SIZE,5.7,8.0,A8,X,6.056935190793458,6.12,6.086427267194157,300.0,0.11778104235512704,0.7125
122239,11,STATION WAGON - SMALL,2.0,4.0,AS8,Z,4.582951420714941,4.952947003467062,4.74158368895211,228.0,0.03366713263218451,0.5
122247,19,MINIVAN,3.6,6.0,A6,X,15.015015015015015,29.119581072869472,8.18,282.0,0.11778104235512704,0.6
122250,10,MINIVAN,3.5,6.0,AS6,X,9.606147934678194,12.69,10.787486515641856,271.0,0.13075557709860083,0.5833333333333334
122251,10,MID-SIZE,1.8,4.0,AV,X,4.761904761904762,14.947683109118087,6.87757909215956,153.0,0.13075557709860083,0.45
122252,13,SUBCOMPACT,3.6,6.0,AS6,Z,14.144271570014144,22.65,17.03,276.0,0.4616911152907516,0.6
122253,17,TWO-SEATER,3.5,6.0,AM7,Z,45.53595136805591,6.23,5.93,393.0,1.0,0.5833333333333334
122255,7,FULL-SIZE,1.6,4.0,M6,X,15.267175572519085,4.68,7.56,221.0,0.3722649650185522,0.4
122257,2,SUV - SMALL,2.4,4.0,AS6,X,5.714285714285714,9.00900900900901,6.839945280437757,198.0,0.0,0.6
122260,21,TWO-SEATER,2.5,4.0,AM7,Z,3.7907505686125855,4.395604395604396,4.040404040404041,371.0,0.13738198416456834,0.625
122264,16,SUV - STANDARD,5.3,8.0,A6,E,5.25,24.096385542168672,8.11,298.0,0.31251434751127427,0.6625
122267,8,SUV - SMALL,2.5,4.0,AV6,X,31.37764228692074,7.35,6.321112515802781,188.0,0.16651708420640168,0.625
122269,20,SUV - SMALL,2.0,4.0,AS6,Z,6.8493150684931505,27.85515320334262,10.416666666666668,282.0,0.07969935719583567,0.5
122270,17,SUV - STANDARD,3.5,6.0,AS6,X,22.541990813715024,52.65447478291329,3.8,330.0,1.0,0.5833333333333334
122274,16,FULL-SIZE,3.6,6.0,AS6,E,2.9850746268656714,5.350454788657036,20.628330049197515,243.0,0.31251434751127427,0.6
122280,18,MID-SIZE,2.0,4.0,AS10,Z,14.40922190201729,5.524861878453039,8.37,215.0,0.40917622032231027,0.5
122284,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,7.75,6.8493150684931505,7.2992700729927,251.0,1.0,0.45
122289,17,TWO-SEATER,3.5,6.0,AM7,Z,7.704160246533128,8.561643835616438,8.064516129032258,361.0,1.0,0.5833333333333334
122293,6,FULL-SIZE,1.6,4.0,AM6,X,4.83,16.260162601626014,7.042253521126761,160.0,0.34317101657882515,0.4
122297,19,SUV - STANDARD,3.6,6.0,A8,X,9.45,2.717391304347826,4.47227191413238,281.0,0.11778104235512704,0.6
122298,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,4.589261128958238,40.16064257028112,7.627765064836003,314.0,1.0,0.625
122306,7,STATION WAGON - SMALL,1.6,4.0,AM6,X,6.02,3.134796238244514,4.257130693912304,96.0,0.3722649650185522,0.4
122310,17,PICKUP TRUCK - STANDARD,3.5,6.0,A6,E,3.4626038781163437,35.310135986395714,3.84,300.0,1.0,0.5833333333333334
122312,2,MID-SIZE,2.0,4.0,AS6,X,12.870012870012872,4.694835680751174,7.194244604316547,482.563969174488,0.0,0.5
122319,19,FULL-SIZE,5.7,8.0,A5,X,4.918839153959666,14.556040756914118,7.007708479327261,305.0,0.11778104235512704,0.7125
122325,15,COMPACT,4.4,8.0,AM7,Z,4.72,6.28,5.319148936170213,432.0,0.2328061192239942,0.55
122329,1,COMPACT,2.0,4.0,AV7,X,11.7,12.5,12.048192771084338,128.0,0.3734598273946921,0.5
122337,16,PICKUP TRUCK - SMALL,2.0,4.0,A6,D,3.9808917197452227,31.78,6.5659881812212735,281.0,0.31251434751127427,0.5
122339,10,SUV - STANDARD,2.5,4.0,AV,X,20.0,32.5,24.154589371980677,109.0,0.13075557709860083,0.625
122343,17,COMPACT,2.0,4.0,A6,E,13.4,22.46,16.39344262295082,162.0,1.0,0.5
122344,17,SUBCOMPACT,2.3,4.0,AS6,X,4.7664442326024785,12.39,6.59,228.0,1.0,0.575
122347,2,SUV - SMALL,3.7,6.0,AS6,X,37.25801003184591,4.9,5.767012687427912,303.0,0.0,0.6166666666666667
122348,15,SUBCOMPACT,3.0,6.0,AS8,Z,5.92,8.56,6.8728522336769755,216.0,0.2328061192239942,0.5
122351,15,SUBCOMPACT,3.0,6.0,M6,Z,15.060240963855422,5.34,8.264462809917356,300.0,0.2328061192239942,0.5
122356,7,SUV - SMALL,3.6,6.0,M6,X,11.655011655011656,7.733952049497293,9.487666034155598,264.0,0.3722649650185522,0.6
122358,17,SUV - STANDARD,3.5,6.0,AS6,X,32.083286416311765,36.03489354090148,6.1,317.0,1.0,0.5833333333333334
122360,8,MINICOMPACT,2.0,4.0,M6,Z,5.512679162072767,31.00129875124553,5.55,227.0,0.16651708420640168,0.5
122367,11,STATION WAGON - SMALL,2.0,4.0,AS8,X,2.82,6.1012812690665035,20.557765636258416,217.0,0.03366713263218451,0.5
122368,16,MID-SIZE,1.6,4.0,A9,D,5.54,12.820512820512821,7.45,123.0,0.31251434751127427,0.4
122379,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,9.25925925925926,5.85,7.33,309.0,1.0,0.625
122381,6,SUV - SMALL,2.0,4.0,AS6,X,8.45,38.75968992248062,13.03780964797914,203.0,0.34317101657882515,0.5
122384,4,SUV - SMALL,2.4,4.0,AV6,X,11.83431952662722,23.46,15.220700152207002,224.0,0.10750999072159767,0.6
122385,9,MID-SIZE,3.5,6.0,AS6,Z,4.1017227235438884,11.655011655011656,5.790387955993052,234.0,0.2613909546434631,0.5833333333333334
122388,7,SUV - SMALL,2.4,4.0,AS6,X,5.88,18.34862385321101,8.46740050804403,306.75359265058864,0.3722649650185522,0.6
122390,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,4.777830864787386,25.380710659898476,7.518796992481203,280.0,1.0,0.45
122392,13,SUV - SMALL,3.5,6.0,AS8,X,12.658227848101266,14.662756598240469,13.53,261.0,0.4616911152907516,0.5833333333333334
122395,16,SUV - SMALL,3.6,6.0,A6,X,2.896871378910776,5.88,3.7537537537537538,316.0,0.31251434751127427,0.6
122400,1,SUV - SMALL,2.4,4.0,AV,X,14.61,9.04,11.44,215.0,0.3734598273946921,0.6
122402,2,SUV - SMALL,2.5,4.0,AS6,X,7.800312012480499,41.66596046394694,6.381620931716656,213.0,0.0,0.625
122410,19,MID-SIZE,6.2,8.0,A8,Z,5.05,10.799136069114471,6.640106241699867,372.0,0.11778104235512704,0.775
122414,8,SUV - SMALL,2.0,4.0,M6,X,4.566210045662101,69.52946821599528,6.4,219.0,0.16651708420640168,0.5
122415,16,SUV - STANDARD,5.3,8.0,A6,X,6.313131313131313,6.309148264984227,6.329113924050633,317.0,0.31251434751127427,0.6625
122417,10,SUV - SMALL,2.7,4.0,AS6,X,6.84,11.587485515643104,8.39,217.0,0.13075557709860083,0.675
122419,15,SUBCOMPACT,3.0,6.0,AS8,Z,3.88,15.220700152207002,5.830903790087464,235.0,0.2328061192239942,0.5
122421,16,COMPACT,6.2,8.0,M6,Z,8.32639467110741,44.23,13.157894736842104,386.0,0.31251434751127427,0.775
